"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MANALIPETC","EQ","01-Feb-2021","         33.55","         33.60","         33.90","         30.45","         33.85","         33.65","         32.93","     399890","            13168465.15","       1665","     224269","         56.08"
"MANALIPETC","EQ","02-Feb-2021","         33.65","         33.85","         37.10","         33.85","         36.70","         36.70","         35.90","    1049096","            37659456.30","       2635","     831138","         79.22"
"MANALIPETC","EQ","03-Feb-2021","         36.70","         37.00","         39.00","         36.50","         37.35","         37.35","         37.89","    1789078","            67782343.25","       6516","     905813","         50.63"
"MANALIPETC","EQ","04-Feb-2021","         37.35","         37.55","         38.00","         36.50","         37.15","         37.20","         37.31","     597169","            22281265.70","       2288","     328092","         54.94"
"MANALIPETC","EQ","05-Feb-2021","         37.20","         37.60","         38.80","         36.80","         38.15","         38.10","         38.04","    1413828","            53774981.45","       4411","     802955","         56.79"
"MANALIPETC","EQ","08-Feb-2021","         38.10","         38.45","         40.20","         38.15","         39.10","         39.10","         39.12","    1412258","            55246675.65","       5055","     774493","         54.84"
"MANALIPETC","EQ","09-Feb-2021","         39.10","         38.75","         39.40","         37.50","         38.00","         37.75","         38.30","     731823","            28027810.45","       2659","     474416","         64.83"
"MANALIPETC","EQ","10-Feb-2021","         37.75","         42.50","         45.30","         42.50","         45.30","         45.30","         44.42","   11766934","           522660751.05","      29288","    4554894","         38.71"
"MANALIPETC","EQ","11-Feb-2021","         45.30","         47.30","         53.70","         46.75","         49.70","         49.35","         50.61","   15028587","           760660277.85","      59719","    3973148","         26.44"
"MANALIPETC","EQ","12-Feb-2021","         49.35","         49.80","         51.85","         49.00","         50.40","         50.00","         50.37","    3948155","           198865099.70","      17337","    1361581","         34.49"
"MANALIPETC","EQ","15-Feb-2021","         50.00","         50.70","         51.60","         48.75","         48.95","         49.05","         49.73","    1848948","            91953867.50","       8198","     944351","         51.08"
"MANALIPETC","EQ","16-Feb-2021","         49.05","         49.40","         49.40","         46.50","         47.65","         47.35","         47.45","    1661675","            78854291.05","       7219","     901864","         54.27"
"MANALIPETC","EQ","17-Feb-2021","         47.35","         47.70","         49.40","         47.05","         48.80","         48.80","         48.58","    1487217","            72242924.90","       6084","     722177","         48.56"
"MANALIPETC","EQ","18-Feb-2021","         48.80","         49.25","         49.90","         48.35","         49.00","         49.20","         49.06","    1587558","            77877671.15","       8126","     722740","         45.53"
"MANALIPETC","EQ","19-Feb-2021","         49.20","         48.85","         49.50","         47.50","         48.10","         48.10","         48.52","    1199068","            58183579.50","       5603","     470588","         39.25"
"MANALIPETC","EQ","22-Feb-2021","         48.10","         47.60","         48.90","         46.55","         46.80","         46.90","         47.40","    1385733","            65687444.00","       6686","     477370","         34.45"
"MANALIPETC","EQ","23-Feb-2021","         46.90","         47.00","         48.30","         46.70","         47.20","         47.05","         47.39","    1076757","            51024673.55","       5025","     386698","         35.91"
"MANALIPETC","EQ","24-Feb-2021","         47.05","         47.40","         56.45","         47.25","         56.45","         56.45","         53.93","    7035545","           379449807.25","      21944","    2686113","         38.18"
"MANALIPETC","EQ","25-Feb-2021","         56.45","         60.85","         62.90","         58.60","         59.75","         59.70","         60.61","    7324405","           443940117.20","      32706","    3012878","         41.13"
"MANALIPETC","EQ","26-Feb-2021","         59.70","         58.50","         67.00","         57.50","         64.45","         64.35","         63.67","    7488805","           476823887.45","      35579","    2325166","         31.05"
"MANALIPETC","EQ","01-Mar-2021","         64.35","         67.00","         69.90","         65.20","         67.00","         66.65","         66.79","    3754474","           250766605.45","      16074","    1881211","         50.11"
"MANALIPETC","EQ","02-Mar-2021","         66.65","         67.80","         68.50","         61.35","         65.10","         64.85","         64.88","    2154678","           139786217.85","      12223","    1113621","         51.68"
"MANALIPETC","EQ","03-Mar-2021","         64.85","         65.45","         66.80","         63.55","         63.85","         64.05","         64.72","    1018324","            65901368.55","       5620","     613455","         60.24"
"MANALIPETC","EQ","04-Mar-2021","         64.05","         64.45","         66.50","         63.00","         65.00","         64.95","         65.30","    1051289","            68644411.60","       5652","     539111","         51.28"
"MANALIPETC","EQ","05-Mar-2021","         64.95","         65.50","         66.00","         63.30","         63.80","         63.55","         64.61","     704518","            45520473.85","       3758","     424256","         60.22"
"MANALIPETC","EQ","08-Mar-2021","         63.55","         64.25","         65.45","         61.55","         63.00","         62.75","         63.95","     713068","            45598719.65","       5417","     425387","         59.66"
"MANALIPETC","EQ","09-Mar-2021","         62.75","         63.30","         64.60","         59.80","         60.00","         60.50","         61.64","     942108","            58074556.75","       6434","     577393","         61.29"
"MANALIPETC","EQ","10-Mar-2021","         60.50","         61.10","         61.90","         60.20","         61.05","         61.10","         60.96","     506051","            30849473.15","       3398","     272408","         53.83"
"MANALIPETC","EQ","12-Mar-2021","         61.10","         62.30","         66.85","         62.10","         63.60","         63.50","         64.44","    2041579","           131556506.35","      11391","     952179","         46.64"
"MANALIPETC","EQ","15-Mar-2021","         63.50","         64.00","         67.20","         62.05","         66.40","         66.10","         65.81","    2572768","           169321486.55","      14518","    1174622","         45.66"
"MANALIPETC","EQ","16-Mar-2021","         66.10","         66.60","         67.90","         64.90","         65.10","         65.15","         66.07","    1148726","            75891930.45","       7856","     537977","         46.83"
